name_ru;muscle_group;video_url
Сумо-приседания;ноги;https://www.youtube.com/shorts/Rr-ClHWPzCg
Тяга верхнего блока;спина;https://www.youtube.com/watch?v=CAwf7n6Luuc
Тяга гантели в наклоне;спина;https://www.youtube.com/watch?v=pYcpY20QaE8
Тяга горизонтального блока;спина;https://www.youtube.com/shorts/j3k4DsTAgx8
Тяга к лицу;плечи;https://www.youtube.com/watch?v=rep-qVOkqgk
Тяга к подбородку;плечи;https://www.youtube.com/watch?v=YkCesHtfCb8&pp=ygUg0KLRj9Cz0LAg0Log0L_QvtC00LHQvtGA0L7QtNC60YM%3D
Тяга резинки к поясу;спина;https://www.youtube.com/shorts/q-uP7JmCKyE
Тяга Т-грифа;спина;https://www.youtube.com/watch?v=2ZdTtIa7_cw&pp=ygUW0KLRj9Cz0LAg0KIt0LPRgNC40YTQsNIHCQmjCwGHKiGM7w%3D%3D
Тяга штанги в наклоне;спина;https://www.youtube.com/watch?v=vQ4gIyxl0Pc&pp=ygUn0KLRj9Cz0LAg0YjRgtCw0L3Qs9C4INCyINC90LDQutC70L7QvdC1
Удержание «лодочки»;кор;
Фермерская прогулка;ноги;https://www.youtube.com/watch?v=Fkzk_RqlYig
Французский жим гантели;трицепс;https://www.youtube.com/watch?v=nRiJVZDpdL0
Фронтальные приседания;ноги;https://www.youtube.com/shorts/FXBNO_dHOGo
Шраги с гантелями;спина;Шраги с гантелями
Эллипс;кардио;
Ягодичный мост;ноги;https://www.youtube.com/watch?v=OUgsJ8-Vi0E
Ягодичный мост со штангой;кор;https://www.youtube.com/watch?v=LM8XHLYJoYs
